TurkuNLP (Turku),software1-P,96.62
ICS PAS (Warszawa),software1-P,96.19
Stanford (Stanford),software2,95.54
UDPipe Future (Praha),software1-P,94.91
AntNLP (Shanghai),software1-P,94.9
BASELINE UDPipe 1.2 (Praha),software1-P,94.9
BOUN (İstanbul),software2-P,94.9
CEA LIST (Paris),software1-P,94.9
CUNI x-ling (Praha),software1-P,94.9
Fudan (Shanghai),software5-P,94.9
HUJI (Yerushalayim),software1-P,94.9
LATTICE (Paris),software1-P,94.9
LeisureX (Shanghai),software1-P,94.9
ParisNLP (Paris),software1-P,94.9
SLT-Interactions (Bengaluru),software2-P,94.9
UniMelb (Melbourne),software1-P,94.9
Phoenix (Shanghai),software1-P,94.82
HIT-SCIR (Harbin),software1-P,94.59
ArmParser (Yerevan),software1-P,94.49
KParse (İstanbul),software1-P,85.65
NLP-Cube (București),software1-P,85.1
ONLP lab (Ra'anana),software3-P,66.97
IBM NY (Yorktown Heights),software1-P,62.58
Uppsala (Uppsala),software1-P,62.55
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
