TurkuNLP (Turku),software1-P,97.15
Stanford (Stanford),software2,95.73
ICS PAS (Warszawa),software1-P,95.58
UDPipe Future (Praha),software1-P,95.54
HIT-SCIR (Harbin),software1-P,94.41
AntNLP (Shanghai),software1-P,94.29
BASELINE UDPipe 1.2 (Praha),software1-P,94.29
BOUN (İstanbul),software2-P,94.29
CEA LIST (Paris),software1-P,94.29
CUNI x-ling (Praha),software1-P,94.29
HUJI (Yerushalayim),software1-P,94.29
LATTICE (Paris),software1-P,94.29
LeisureX (Shanghai),software1-P,94.29
ParisNLP (Paris),software1-P,94.29
Phoenix (Shanghai),software1-P,94.29
SLT-Interactions (Bengaluru),software2-P,94.29
UniMelb (Melbourne),software1-P,94.29
iParse (Pittsburgh),software1-P,94.29
ArmParser (Yerevan),software1-P,94.02
KParse (İstanbul),software1-P,91.76
Fudan (Shanghai),software5-P,90.54
NLP-Cube (București),software1-P,87.92
ONLP lab (Ra'anana),software3-P,39.21
IBM NY (Yorktown Heights),software1-P,38.62
Uppsala (Uppsala),software1-P,38.62
SParse (İstanbul),software1-P,0.0
