UDPipe Future (Praha),software1-P,80.83
HIT-SCIR (Harbin),software1-P,80.48
Stanford (Stanford),software2,80.45
CEA LIST (Paris),software1-P,80.38
TurkuNLP (Turku),software1-P,80.38
ICS PAS (Warszawa),software1-P,80.3
NLP-Cube (București),software1-P,78.42
ParisNLP (Paris),software1-P,77.73
SLT-Interactions (Bengaluru),software2-P,77.32
Uppsala (Uppsala),software1-P,76.97
AntNLP (Shanghai),software1-P,76.66
iParse (Pittsburgh),software1-P,76.08
LeisureX (Shanghai),software1-P,75.38
UniMelb (Melbourne),software1-P,75.33
LATTICE (Paris),software1-P,75.26
KParse (İstanbul),software1-P,74.84
BOUN (İstanbul),software2-P,73.09
Phoenix (Shanghai),software1-P,72.9
BASELINE UDPipe 1.2 (Praha),software1-P,72.2
Fudan (Shanghai),software5-P,72.2
HUJI (Yerushalayim),software1-P,71.08
ONLP lab (Ra'anana),software3-P,70.75
CUNI x-ling (Praha),software1-P,69.17
ArmParser (Yerevan),software1-P,54.56
IBM NY (Yorktown Heights),software1-P,49.2
SParse (İstanbul),software1-P,0.0
