Stanford (Stanford),software2,99.88
NLP-Cube (București),software1-P,99.87
Uppsala (Uppsala),software1-P,99.87
UDPipe Future (Praha),software1-P,99.86
AntNLP (Shanghai),software1-P,99.81
ArmParser (Yerevan),software1-P,99.81
BASELINE UDPipe 1.2 (Praha),software1-P,99.81
BOUN (İstanbul),software2-P,99.81
CEA LIST (Paris),software1-P,99.81
CUNI x-ling (Praha),software1-P,99.81
Fudan (Shanghai),software5-P,99.81
HIT-SCIR (Harbin),software1-P,99.81
HUJI (Yerushalayim),software1-P,99.81
ICS PAS (Warszawa),software1-P,99.81
KParse (İstanbul),software1-P,99.81
LATTICE (Paris),software1-P,99.81
LeisureX (Shanghai),software1-P,99.81
ONLP lab (Ra'anana),software3-P,99.81
ParisNLP (Paris),software1-P,99.81
Phoenix (Shanghai),software1-P,99.81
SLT-Interactions (Bengaluru),software2-P,99.81
TurkuNLP (Turku),software1-P,99.81
UniMelb (Melbourne),software1-P,99.81
iParse (Pittsburgh),software1-P,99.81
IBM NY (Yorktown Heights),software1-P,99.61
SParse (İstanbul),software1-P,0.0
