Uppsala (Uppsala),software1-P,92.5
UDPipe Future (Praha),software1-P,92.21
CEA LIST (Paris),software1-P,92.19
TurkuNLP (Turku),software1-P,92.07
KParse (İstanbul),software1-P,91.32
Stanford (Stanford),software2,91.14
NLP-Cube (București),software1-P,89.97
ICS PAS (Warszawa),software1-P,89.85
AntNLP (Shanghai),software1-P,87.35
BASELINE UDPipe 1.2 (Praha),software1-P,87.35
BOUN (İstanbul),software2-P,87.35
CUNI x-ling (Praha),software1-P,87.35
Fudan (Shanghai),software5-P,87.35
HIT-SCIR (Harbin),software1-P,87.35
HUJI (Yerushalayim),software1-P,87.35
LATTICE (Paris),software1-P,87.35
LeisureX (Shanghai),software1-P,87.35
ONLP lab (Ra'anana),software3-P,87.35
ParisNLP (Paris),software1-P,87.35
Phoenix (Shanghai),software1-P,87.35
SLT-Interactions (Bengaluru),software2-P,87.35
UniMelb (Melbourne),software1-P,87.35
iParse (Pittsburgh),software1-P,87.35
ArmParser (Yerevan),software1-P,85.9
IBM NY (Yorktown Heights),software1-P,54.33
SParse (İstanbul),software1-P,0.0
